participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses
20636304,22,pretest,1,v,FALSE,464.57,Good,2,Good,,v,v,1
20636304,22,pretest,2,n,FALSE,266.8,Good,2,Good,,n,n,1
20636304,22,pretest,3,n,FALSE,334.69,Good,2,Good,,n,n,1
20636304,22,pretest,4,v,FALSE,330.6,Good,2,Good,,v,v,1
20636304,22,pretest,5,v,FALSE,341.1,Good,2,Good,,v,v,1
20636304,22,pretest,6,b,FALSE,284.26,Good,2,Good,,b,b,1
20636304,22,pretest,7,v,FALSE,333.14,Good,2,Good,,v,v,1
20636304,22,pretest,8,b,FALSE,312.13,Good,2,Good,,b,b,1
20636304,22,pretest,9,b,FALSE,318.08,Good,2,Good,,b,b,1
20636304,22,pretest,10,n,FALSE,337.08,Good,2,Good,,n,n,1
20636304,22,pretest,11,n,FALSE,446.92,Good,2,Good,,n,n,1
20636304,22,pretest,12,n,FALSE,314.7,Good,2,Good,,n,n,1
20636304,22,pretest,13,v,FALSE,348.02,Good,2,Good,,v,v,1
20636304,22,pretest,14,m,FALSE,331.19,Good,2,Good,,m,m,1
20636304,22,pretest,15,v,FALSE,316.17,Good,2,Good,,v,v,1
20636304,22,pretest,16,v,FALSE,314.23,Good,2,Good,,v,v,1
20636304,22,pretest,17,v,FALSE,263.3,Good,2,Good,,v,v,1
20636304,22,pretest,18,b,FALSE,252.89,Good,2,Good,,b,b,1
20636304,22,pretest,19,n,FALSE,584.47,Late,1,Late,,n,n,1
20636304,22,pretest,20,n,FALSE,379.03,Good,2,Good,,n,n,1
20636304,22,pretest,21,b,FALSE,379.96,Good,2,Good,,b,b,1
20636304,22,pretest,22,n,FALSE,366.3,Good,2,Good,,n,n,1
20636304,22,pretest,23,n,FALSE,316.61,Good,2,Good,,n,n,1
20636304,22,pretest,24,m,FALSE,331.18,Good,2,Good,,m,m,1
20636304,22,pretest,25,b,FALSE,0,Miss,-2,Miss!,incorrect_key,v,b,1
20636304,22,pretest,26,n,FALSE,411.98,Good,2,Good,,n,n,1
20636304,22,pretest,27,v,FALSE,395.95,Good,2,Good,,v,v,1
20636304,22,pretest,28,n,FALSE,316.16,Good,2,Good,,n,n,1
20636304,22,pretest,29,v,FALSE,348.06,Good,2,Good,,v,v,1
20636304,22,pretest,30,b,FALSE,297.24,Good,2,Good,,b,b,1
20636304,22,pretest,31,b,FALSE,364.58,Good,2,Good,,b,b,1
20636304,22,pretest,32,v,FALSE,297.22,Good,2,Good,,v,v,1
20636304,22,pretest,33,b,FALSE,347.2,Good,2,Good,,b,b,1
20636304,22,pretest,34,b,FALSE,727.15,Late,1,Late,,b,b,1
20636304,22,pretest,35,b,FALSE,318.67,Good,2,Good,,b,b,1
20636304,22,pretest,36,v,FALSE,331.2,Good,2,Good,,v,v,1
20636304,22,pretest,37,v,FALSE,349.57,Good,2,Good,,v,v,1
20636304,22,pretest,38,v,FALSE,298.18,Good,2,Good,,v,v,1
20636304,22,pretest,39,v,FALSE,331.32,Good,2,Good,,v,v,1
