participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses
f,4,pretest,1,n,FALSE,0,Miss,-2,Miss!,incorrect_key,b,n,1
f,4,pretest,1,n,FALSE,0,Miss,-2,Miss!,incorrect_key,n,n,1
f,4,pretest,2,b,FALSE,0,Miss,-2,Miss!,incorrect_key,v,b,1
f,4,pretest,2,b,FALSE,0,Miss,-2,Miss!,incorrect_key,b,b,1
f,4,pretest,3,m,FALSE,451.38,Good,2,Good,,m,m,1
f,4,pretest,4,m,FALSE,1014.48,Miss,-2,Miss!,timeout,,m,0
f,4,pretest,5,n,FALSE,447.4,Good,2,Good,,n,n,1
f,4,pretest,5,n,FALSE,0,Miss,-2,Miss!,incorrect_key,m,n,1
f,4,pretest,6,m,FALSE,401.48,Good,2,Good,,m,m,1
f,4,pretest,7,v,FALSE,366.05,Good,2,Good,,v,v,1
f,4,pretest,8,m,FALSE,382.02,Good,2,Good,,m,m,1
f,4,pretest,9,m,FALSE,452.81,Good,2,Good,,m,m,1
f,4,pretest,10,n,FALSE,895.75,Late,1,Late,,n,n,1
f,4,pretest,11,n,FALSE,1012.04,Miss,-2,Miss!,timeout,,n,0
f,4,pretest,12,v,FALSE,1014.9,Miss,-2,Miss!,timeout,,v,0
f,4,pretest,13,b,FALSE,1006.89,Miss,-2,Miss!,timeout,,b,0
f,4,pretest,14,v,FALSE,1001.09,Miss,-2,Miss!,timeout,,v,0
f,4,pretest,15,v,FALSE,1010.27,Miss,-2,Miss!,timeout,,v,0
f,4,pretest,16,m,FALSE,1009.41,Miss,-2,Miss!,timeout,,m,0
f,4,pretest,17,m,FALSE,1014.78,Miss,-2,Miss!,timeout,,m,0
f,4,pretest,18,n,FALSE,1000.31,Miss,-2,Miss!,timeout,,n,0
f,4,pretest,19,v,FALSE,1013.9,Miss,-2,Miss!,timeout,,v,0
f,4,pretest,20,b,FALSE,1006.41,Miss,-2,Miss!,timeout,,b,0
f,4,pretest,21,b,FALSE,1013.34,Miss,-2,Miss!,timeout,,b,0
f,4,pretest,22,v,FALSE,1004.33,Miss,-2,Miss!,timeout,,v,0
f,4,pretest,23,m,FALSE,1006.58,Miss,-2,Miss!,timeout,,m,0
f,4,pretest,24,n,FALSE,1014.24,Miss,-2,Miss!,timeout,,n,0
f,4,pretest,25,v,FALSE,1016.57,Miss,-2,Miss!,timeout,,v,0
