participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses
satoru,21,pretest,1,v,FALSE,476.47,Good,2,Good,,v,v,1
satoru,21,pretest,2,v,FALSE,492.68,Good,2,Good,,v,v,1
satoru,21,pretest,3,b,FALSE,379.8,Good,2,Good,,b,b,1
satoru,21,pretest,4,v,FALSE,558.35,Late,1,Late,,v,v,1
satoru,21,pretest,5,n,FALSE,0,Miss,-2,Miss!,incorrect_key,m,n,1
satoru,21,pretest,5,n,FALSE,0,Miss,-2,Miss!,incorrect_key,n,n,1
satoru,21,pretest,6,m,FALSE,397.73,Good,2,Good,,m,m,1
satoru,21,pretest,7,n,FALSE,443.43,Good,2,Good,,n,n,1
satoru,21,pretest,8,n,FALSE,411.0,Good,2,Good,,n,n,1
satoru,21,pretest,9,v,FALSE,477.83,Good,2,Good,,v,v,1
satoru,21,pretest,10,v,FALSE,571.04,Late,1,Late,,v,v,1
satoru,21,pretest,11,m,FALSE,494.51,Good,2,Good,,m,m,1
satoru,21,pretest,12,b,FALSE,506.22,Late,1,Late,,b,b,1
satoru,21,pretest,13,v,FALSE,524.79,Late,1,Late,,v,v,1
satoru,21,pretest,14,n,FALSE,424.05,Good,2,Good,,n,n,1
satoru,21,pretest,15,b,FALSE,361.07,Good,2,Good,,b,b,1
satoru,21,pretest,16,b,FALSE,441.89,Good,2,Good,,b,b,1
satoru,21,pretest,17,m,FALSE,491.6,Good,2,Good,,m,m,1
satoru,21,pretest,18,n,FALSE,444.46,Good,2,Good,,n,n,1
satoru,21,pretest,19,n,FALSE,431.02,Good,2,Good,,n,n,1
satoru,21,pretest,20,n,FALSE,475.33,Good,2,Good,,n,n,1
satoru,21,main,1,b,FALSE,720.42,Late,1,Late,,b,b,1
satoru,21,main,2,v,FALSE,661.41,Late,1,Late,,v,v,1
satoru,21,main,3,n,FALSE,1120.05,Miss,-2,Miss,,n,n,1
satoru,21,main,4,b,FALSE,657.69,Late,1,Late,,b,b,1
satoru,21,main,5,m,FALSE,329.75,Good,2,Good,,m,m,1
satoru,21,main,6,v,FALSE,410.98,Good,2,Good,,v,v,1
satoru,21,main,incorrect_7,n,FALSE,0,Miss,-2,Miss!,incorrect_key,n,b,1
satoru,21,main,7,b,FALSE,675.35,Late,1,Late,,b,b,1
satoru,21,main,8,n,FALSE,382.56,Good,2,Good,,n,n,1
satoru,21,main,9,m,FALSE,375.87,Good,2,Good,,m,m,1
satoru,21,main,10,b,FALSE,611.97,Late,1,Late,,b,b,1
satoru,21,main,11,b,FALSE,616.06,Late,1,Late,,b,b,1
satoru,21,main,12,v,FALSE,451.88,Good,2,Good,,v,v,1
satoru,21,main,13,n,FALSE,657.93,Late,1,Late,,n,n,1
satoru,21,main,incorrect_free,m,FALSE,0,Miss,-2,Miss!,incorrect_key,m,,1
satoru,21,main,14,b,FALSE,393.13,Good,2,Good,,b,b,1
satoru,21,main,15,m,FALSE,409.07,Good,2,Good,,m,m,1
satoru,21,main,16,v,FALSE,380.24,Good,2,Good,,v,v,1
satoru,21,main,17,b,FALSE,380.23,Good,2,Good,,b,b,1
satoru,21,main,18,n,FALSE,426.93,Good,2,Good,,n,n,1
satoru,21,main,19,m,FALSE,377.15,Good,2,Good,,m,m,1
satoru,21,main,20,b,FALSE,514.56,Late,1,Late,,b,b,1
satoru,21,aftertest,1,v,FALSE,444.97,Good,2,Good,,v,v,1
satoru,21,aftertest,2,n,FALSE,0,Miss,-2,Miss!,incorrect_key,m,n,1
satoru,21,aftertest,3,m,FALSE,424.19,Good,2,Good,,m,m,1
satoru,21,aftertest,4,v,FALSE,459.7,Good,2,Good,,v,v,1
satoru,21,aftertest,5,v,FALSE,449.45,Good,2,Good,,v,v,1
satoru,21,aftertest,6,v,FALSE,419.94,Good,2,Good,,v,v,1
satoru,21,aftertest,7,v,FALSE,412.71,Good,2,Good,,v,v,1
satoru,21,aftertest,8,n,FALSE,678.28,Late,1,Late,,n,n,1
satoru,21,aftertest,9,v,FALSE,471.93,Good,2,Good,,v,v,1
satoru,21,aftertest,10,n,FALSE,545.17,Late,1,Late,,n,n,1
satoru,21,aftertest,11,n,FALSE,460.93,Good,2,Good,,n,n,1
satoru,21,aftertest,12,m,FALSE,411.96,Good,2,Good,,m,m,1
satoru,21,aftertest,13,b,FALSE,566.07,Late,1,Late,,b,b,1
satoru,21,aftertest,14,v,FALSE,496.8,Good,2,Good,,v,v,1
satoru,21,aftertest,15,n,FALSE,844.73,Late,1,Late,,n,n,1
satoru,21,aftertest,16,b,FALSE,527.87,Late,1,Late,,b,b,1
satoru,21,aftertest,17,m,FALSE,402.79,Good,2,Good,,m,m,1
satoru,21,aftertest,18,v,FALSE,427.42,Good,2,Good,,v,v,1
satoru,21,aftertest,19,n,FALSE,525.52,Late,1,Late,,n,n,1
satoru,21,aftertest,20,v,FALSE,417.04,Good,2,Good,,v,v,1
